idBuku,judulBuku,tipe,penerbit,tahun,deskripsi
1022.0,Praktikum Pengantar Akuntansi 2-Berbasis PSAK,Text,Salemba Empat,2018,"Secara umum, perubahan sering diartikan sebagai kondisi yang berbeda dari kondisi sebelumnya. Artinya, perubahan terjadi karena timbul dari suatu proses yang terjadi kemudian dan menggambarkan sebelum dan setelah peristiwa tersebut terjadi, baik berkaitan dengan perubahan fisik, ide, maupun gagasan yang hasilnya mungkin positif (growth), negatif (stagnation), atau mundur (collapse).rnManajemen perubahan adalah upaya yang dilakukan untuk mengelola akibat-akibat yang ditimbulkan oleh perubahan yang terjadi dalam organisasi. Perubahan dapat terjadi karena sebab-sebab yang berasal dari dalam ataupun dari luar organsiasi tersebut. Manajemen peruabahan juga merupakan proses secara sistematis dalam menerapkan pengetahuan, sarana, dan sumber daya yang diperlukan untuk memengaruhi perubahan pada seseorang yang akan terkena dampak dari perubahan tersebut. Tujuannya adalah memberi solusi yang diperlukan untuk sukses dengan cara yang terorganisasi dan melalui metode pengelolaan dampak pada individu/organisasi yang terlibat di dalamnya.rnTeori dan praktik manajemen perubahan melibatkan banyak disilpin ilmu dan tradisi ilmu-ilmu sosial, bukan suatu disiplin ilmu terpisah dengan batasan kaku yang terdefinisikan dengan jelas. Adapun komponen perubahan meliputi tujuan perubahan, aspek strategi yang perlu diubah, strategi yang diterapkan, sumber daya, manajer perubahan, agent of change, serta organisasi dan target audiens yang pasti."
1028.0,Pengauditan Pengolahan Data Elektronik (PDE):  konsep dan praktik ACL for windows,Text,Salemba Empat,2018,"Perkembangan teknologi informasi (TI) telah memberikan dampak besar di bidang audit (auditing). TI telah menginspirasi rekayasa ulang berbagai proses bisnis tradisional untuk mendukung operasi yang lebih efisien dan untuk meningkatkan komunikasi dalam entitas serta antara entitas dengan para pelanggan dan pemasoknya. Buku ini membahas konsep sistem informasi berbasis komputer dan beberapa isu audit yang berkaitan dengan operasi komputer, audit terhadap sistem yang mengelola dan mengendalikan sumber daya data perusahaan, alat dan teknik audit yang menggunakan alat bantu komputer atau teknologi informasi, serta penggunaan ACL for Windows untuk menganalisis data dan menghasilkan laporan audit untuk pengguna biasa atau pengguna ahli."
1035.0,Perpajakan Indonesia Edisi 11 Buku 1,Text,Salemba Empat,2013,"Perpajakan Indonesia 1 Edisi 10, merupakan pembaruan dari edisi sebelumnya dengan penghapusan bab yang tidak berlaku, penambahan bab baru, dan penyempurnaan materi pada setiap bab seiring perubahan aturan pelaksanaan."
1039.0,Akuntansi Intermediate Jilid 1,Text,Erlangga,2007,"Buku Intermediate Accounting Edisi ke-12 ini menggambarkan dunia akuntansi masa kini. Buku ini didukung oleh Newsletter Intermediate Accounting, yang memuat berbagai berita terkini mengenai sejumlah perkembangan dalam dunia akuntansi beserta dampak-daqmpaknya, yang dikirimkan secara periodik kepada Anda.rnrnBuku ini menggunakan gaya tulisan dan pengorganisasian topic yang jelas, sehingga dapat membantu Anda memahami konsep-konsep akuntansi dengan lebih mudah.rnrnBuku ini menggunakanbanyak sekali contoh dan ilustrasi yang nyata terjadi di berbagai perusahaan, yang dapat membantu Anda memahami bagaimana para professional menerapkan berbagai prinsip dan teknik akuntansi di dunia nyata.rnrnBuku ini memiliki simulasi masalah yang telah terkomputerisasi sebagai latihan, yang membuat Anda dapat merasakan bagaimana menjadi seorang akuntan profesional. Di samping itu, Anda bisa melatih kemampuan anda secara online melalui Fianncial Accounting Research Database System (FARS).rnBagi siapa saja yang berkarier di bidang akuntansi, buku ini adalah kunci menuju sukses!rnrnDaftar IsirnBAB 01 Akuntansi Keuangan dan Standar AkuntansirnBAB 02 Kerangka Kerja Konseptual yang Mendasari Akuntansi KeuanganrnBAB 03 Sistem Informasi AkuntansirnBAB 04 Laporan Laba-rugi dan Informasi yang BerhubunganrnBAB 05 Neraca dan Laporan KasrnBAB 06 Akuntansi dan Nilai Waktu dari UangrnBAB 07 Kas dan PiutangrnBAB 08 Penilaian Persediaan: Pendekatan Dasar BiayarnBAB 09 Persediaan: Masalah Penilaian Tambahan"
1047.0,Praktikum Akuntansi Keuangan Menengah 2,Text,Salemba Empat,2019,"Praktikum Akuntansi Keuangan Menengah 2rnrnPenulis : Hari Setiyawati | Yuliansyah | Lawe anasta | Winwin YadiatirnrnMateri yang dibahas dalam buku Praktikum akuntansi Keuangan Menengah 2 terdiri dari 8 bab:rnrnBab 1 Liabilitas Jangka Pendek, Provisi, dan KontinjensirnBab 2 Liabilitas Jangka PanjangrnBab 3 EkuitasrnBab 4 Sekuritas Dilutif dan Laba per Lembar SahamrnBab 5 InvestasirnBab 6 Pengakuan PendapatanrnBab 7 akuntansi Sewa Guna UsaharnBab 8 Perubahan Akuntansi dan Analisis Kesalahan"
1048.0,Praktikum Anggaran,Text,Salemba Medika,2015,"Buku ini ditulis untuk melengkapi dan mengaplikasikan buku teks Anggaran bagi mahasiswa Program Diploma 3 Akuntansi yang mengambil mata ajar Praktikum Anggaran. Melalui buku praktikum ini, mahasiswa diharapkan dapat menghitung dan menyusun Anggaran Induk (Master Budget) perusahaan yang terdiri atas Anggaran Penjualan, Anggaran Produksi, Anggaran Biaya Produksi, Anggaran Laba Rugi, Anggaran Kas, dan Anggaran Laporan Posisi Keuanganrn(Kembali Ke Atas)rnDaftar IsirnKasus PT Semesta Raya: Anggaran PenjualanrnLembar JawabanrnKasus PT Semesta Raya: Anggaran ProduksirnLembar JawabanrnKasus PT Semesta Raya: Anggaran Biaya ProduksirnLembar JawabanrnKasus PT Semesta Raya: Anggaran Laba RugirnLembar JawabanrnKasus PT Semesta Raya: Anggaran KasrnLembar JawabanrnKasus PT Semesta Raya: Anggaran Laporan Posisi KeuanganrnLembar Jawaban"
1050.0,Praktikum Manajemen Keuangan,Text,Salemba,2018,"Praktikum Manajemen Keuangan merupakan pelengkap mata kuliah manajemen keuangan. Oleh karena itu, dalam praktik ini materi yang digunakan meliputi konsep-konsep dalam manajemen keuangan yang diolah menggunakan komputer. Dengan menyelesaikan seluruh kegiatan dalam praktikum komputasi ini, mahasiswa diharapkan terampil mengaplikasikan berbagai konsep manajemen keuangan sesuai dengan fungsi manajemen keuangan yang meliputi alokasi dana pada berbagai aset, pemenuhan kebutuhan modal/pencarian sumber dana, perhitungan biaya modal berbagai sumber, serta beberapa permasalahan khusus bidang keuangan."
1054.0,Praktik Komputer Akuntansi Perusahaan Manufaktur dengan MYOB Accounting v24 & Premier v19,Teks Akuntansi,Salemba Empat,2018,DAFTAR ISIrnBAB 1 : Tentang ManufakturrnBAB 2 : Pengaturan AwalrnBAB 3 : Saldo AwalrnBAB 4 : Pembelian Dan UtangrnBAB 5 : Proses ProduksirnBAB 6 : Penjualan Dan PiutangrnBAB 7 : Kas Dan BankrnBAB 8 : Proses Akhir PeriodernBAB 9 : MYOB Premier V19rnBAB 10 : Harga Produk PesananrnBAB 11 : ABSS Dan MYOB
1055.0,Praktik Komputer Akuntansi Perusahaan Manufaktur dengan MYOB Accounting v24 & Premier v19,Teks Akuntansi,Salemba Empat,2018,DAFTAR ISIrnBAB 1 : Tentang ManufakturrnBAB 2 : Pengaturan AwalrnBAB 3 : Saldo AwalrnBAB 4 : Pembelian Dan UtangrnBAB 5 : Proses ProduksirnBAB 6 : Penjualan Dan PiutangrnBAB 7 : Kas Dan BankrnBAB 8 : Proses Akhir PeriodernBAB 9 : MYOB Premier V19rnBAB 10 : Harga Produk PesananrnBAB 11 : ABSS Dan MYOB
1056.0,Dasar - Dasar Akuntansi Manajerial,Text,Unknown,2016,"Akuntansi manajerial (managerial accounting) menyediakan informasi akuntansi bagi pengguna internal perusahaan. Fokusnya terletak pada bagaimana seharusnya manajer menggunakan data akuntansi di dalam perusahaan untuk melakukan perencanaan, pengendalian, dan pembuatan keputusan. Tujuan akuntansi manajerial, yaitu untuk menunjukkan informasi apa yang dibutuhkan, dari mana informasi berasal, bagaimana informasi tersebut dapat diperoleh, dan bagaimana informasi itu dapat digunakan oleh manajer untuk melaksanakan tanggung jawabnya.rnrnBuku Dasar-Dasar Akuntansi Manajerial Edisi 5 ini memberikan penekanan terhadap penggunaan informasi dalam lingkungan bisnis saat ini sehingga menyajikan topik-topik dan perkembangan terkini mengenai bidang tersebut. Oleh karena itu, buku teks ini diharapkan dapat bermanfaat bagi para mahasiswa dengan berbagai latar belakang. Perbaikan dan pembaruan juga dilakukan di setiap bab di buku ini, misalnya pembaruan gambar, materi, data yang disajikan, dan juga persamaan-persamaan penting. Selain perbaikan, dilakukan juga penambahan, seperti fitur Mengapa yang terdapat di setiap bab dan contoh dengan spreadsheet Excel di sejumlah bab. Selain itu, buku ini juga disertai dengan skenario pembuka bab yang didasarkan pada latar belakang dunia nyata dan contoh realistis yang mengilustrasikan konsep akuntansi manajerial.rnrnMateri yang dibahas dalam buku ini mencakup:rnBab 1 Pengantar Akuntansi ManajerialrnBab 2 Konsep Dasar Akuntansi ManajerialrnBab 3 Perilaku BiayarnBab 4 Analisis Biaya-Volume-Laba: Alat Perencanaan ManajerialrnBab 5 Metode Penentuan Harga Pokok Pesanan (Job-Order Costing)rnBab 6 Penentuan Harga Pokok Berdasarkan Proses (Process Costing)rnBab 7 Biaya dan Manajemen Berdasarkan AktivitasrnBab 8 Perhitungan Biaya Absorpsi dan Biaya Variabel, serta Manajemen PersediaanrnBab 9 Perencanaan LabarnBab 10 Perhitungan Biaya Standar: Alat Pengendalian ManajerialrnBab 11 Anggaran Fleksibel dan Analisis OverheadrnBab 12 Evaluasi Kinerja dan DesentralisasirnBab 13 Pengambilan Keputusan Jangka Pendek: Perhitungan Biaya RelevanrnBab 14 Keputusan Investasi ModalrnBab 15 Laporan Arus KasrnBab 16 Analisis Laporan Keuangan"
1057.0,Praktikum Sistem Informasi akuntansi edisi 2,Text,Salemba Empat,2017,"Buku Praktikum ini terdiri dari dua bagian, yakni bagian pertama yang berisi informasi umum mengenai sistem perkuliahan, serta siklus penjualan, siklus pendapatan , siklus pembelian, siklus penggajian, siklus aset tetap, dan siklus konversi dari perusahaan Jimm and Klin. Sedangkan bagian kedua merupakan kertas kerja yang berisi semua lembar jawaban yang dibutuhkan untuk mengerjakan kasus-kasus yang terdapat di dalam bagian pertama. Untuk menjawab kasu dalam buku praktikum ini bisa menggunakan buku acuan dari Romney dan Steinberg (2008); Gelinas dan Dull (2008); dan Hall (2013).rnrnDaftar IsirnKasus 1 Sistem Perkuliahan Informasi UmumrnKasus 2 Siklus PenjualanrnKasus 3 Siklus PendapatanrnKasus 4 Siklus PenjualanrnKasus 5 Siklus PenjualanrnKasus 6 Siklus PembelianrnKasus 7 Siklus PenggajianrnKasus 8 Siklus PenggajianrnKasus 9 Siklus Aset TetaprnKasus 10 Siklus Aset TetaprnKasus 11 Siklus Konversi"
1060.0,Akuntansi untuk LSM dan Partai Politik,Mata Kuliah Umum,Erlangga,2007,BAB 1 KEMUNCULAN DAN PERTUMBUHAN LEMBAGA SWADAYA MASYARAKATrnBAB 2 ORGANISASI LOKAL DAN LEMBAGA SWADAYA MASAYARAKATrnBAB 3 MEMBANGUN PRAKTEK AKUNTANSI LEMBAGA SWADAYA MASAYARAKATrnBAB 4 PENERAPAN SISTEM AKUNTANSI KEUANGAN DAN AKUNTANSI BIAYA LEMBAGA SWADAYA MASYARAKATrnBAB 5 PROSES AUDIT LEMBAGA SWADAYA MASYARAKATrnBAB 6 TOPIK KHUSUS: KUNTANSI  PARTAI POLITIKrnBAB 7 TOPIK KHUSUS: AKUNTANSI DANA BANTUAN LEMBAGA DONORrnBAB 8 TOPIK KHUSUS: AKUNTANSI ORGANISASI KEAGAMAANrnDAFTAR PUSTAKArnINDEKS
1062.0,Perencanaan Pajak Edisi 6,Text,Salemba Empat,2017,"Dalam praktik bisnis, umumnya pengusaha mengidentikkan pembayaran pajak sebagai beban sehingga akan berusaha untuk meminimalkan beban tersebut guna mengoptimalkan laba. Usaha dalam melakukan penghematan pajak secara legal dapat dilakukan melalui manajemen pajak. Manajemen pajak adalah sarana untuk memenuhi kewajiban perpajakan dengan benar tetapi jumlah pajak yang dibayar dapat ditekan serendah mungkin untuk memperoleh laba dan likuiditas yang diharapkan.rnrn rnrnFITUR-FITUR BUKUrnrnEdisi 5 ini merupakan penyempurnaan dari edisi sebelumnya dan telah disesuaikan dengan peraturan perpajakan terbaru. Gaya bahasa dan pembahasan yang sederhana namun mendalam menjadikan buku ini sebagai buku terbaik di bidang perencanaan pajak.rnrn rnrnSASARAN PEMBACArnrnAkademisi, praktisi, maupun masyarakat umum.rnrn rnrnTENTANG PENULISrnrnErly Suandymeraih gelar sarjana ekonomi jurusan akuntansi pada 1992 kemudian menyelesaikan Program Magister di bidang Administrasi dan Kebijakan Perpajakan Universitas Indonesia pada 1998. Selain mengajar di beberapa perguruan tinggi, juga memberikan jasa konsultasi khususnya di bidang akuntansi dan perpajakan. Hasil karyanya yang pernah diterbitkan oleh Penerbit Salemba antara lain adalah Perpajakan, Hukum Pajak Edisi 5, Panduan Ujian Sertifikasi Konsultan Pajak, serta Praktikum Akuntansi Manual dan Komputerisasi dengan MYOB.rn(Kembali Ke Atas)rnDaftar IsirnBab 1 Dasar-Dasar Perencanaan PajakrnBab 2 PenyusutanrnBab 3 Penilaian Kembali (Revaluasi) Aset TetaprnBab 4 Transaksi Sewa Guna UsaharnBab 5 Penentuan Harga TransferrnBab 6 Laporan Keuangan FiskalrnBab 7 Pajak Kini dan Pajak TangguhanrnBab 8 Pemeriksaan dan Penyelidikan PajakrnBab 9 Perencanaan Pajak Berdasarkan Undang-Undang DomestikrnBab 10 Perencanaan Pajak Internasional"
1063.0,Akuntansi Keuangan Menengah Berbasis PSAK Buku 2,Text,Salemba Empat,2015,"Adopsi International Financial Reporting Standards (IFRS) dalam Peryataan Standar Akuntansi Keuangan (PSAK) telah dilakukan di Indonesia. Proses ini akan berdampak besar bagi dunia usaha, terutama dalam penyusunan dan pelaporan keuangan perusahaan. Penerapan PSAK berbasis IFRS membutuhkan banyak referensi terkait perlakuan akuntansi sesuai dengan standar terbaru. Akuntansi Keuangan Menengah Berbasis PSAK Buku 2 ini merupakan buku teks yang dirancang sesuai dengan materi perkuliahan serta mengombinasikan konsep akuntansi, prinsip, penerapan akuntansi, dan pelaporan sesuai dengan PSAK. Penekanan utama dalam buku ini terletak pada aplikasi PSAK berbasis IFRS dengan memberikan contoh maupun ilustrasi nyata yang ada dalam dunia bisnis.rnrnBuku ini diharapkan dapat memberikan pemahaman yanga mendalam kepada mahasiswa atas konsep dan penerapan PSAK yang diperlukan dalam mengaplikasi akuntansi keuangan ke dunia praktik. Selain itu, buku ini juga bermanfaat bagi pihak yang sedang mempersiapkan ujian profesi akuntan public; praktisi sebagai referensi dalam melakukan analisis, audit, dan penyusunan laporan keuangan; maupun akademisi, khususnya pengajar yang terkait dengan akuntansi keuangan sebagai referensi penting dalam proses pengajaran baik sebagai buku wajib maupun buku pendukung.rnrnDaftar Isi:rnrnBab 11 Liabilitas Jangka Pendek, Provisi, Dan KontinjensirnrnBab 12 Liabilitas Jangka PanjangrnrnBab 13 Ekuitas : Modal DisetorrnrnBab 14 Ekuitas : Saldo Laba, Dividen, Saham Treasuri, dan Penghasilan Komprehensif LainrnrnBab 15 Sekuritas Dilusian da n Laba per SahamrnrnBab 16 Investasi: Instrumen Ekuitas Dan UtangrnrnBab 17 PendapatanrnrnBab 18 Akuntansi Pajak PenghasilanrnrnBab 19 Imbalan KerjarnrnBab 20 Akuntansi SewarnrnBab 21 Kebijakan Akuntansi, Perubahan Estimasi Akuntansi Dan KesalahanrnrnBab 22 Laporan Arus KasrnrnBab 23 Isu Lain Seputar Akuntansi Keuangan"
1065.0,Auditing dan jasa assurance pendekatan terintegrasi jilid 2,Text,Erlangga,2015,Buku ini merupakan pengantar untuk memahami jasa auditing dan jasa-jasa assurance lainnya. Buku ini dimaksudkan untuk dipakai dalam mata kuliah satu triwulan atau satu semester pada jenjang sarjana atau pascasarjana. Buku ini juga tepat untuk kursus-kursu
1072.0,Buku Ajar Keperawatan Gawat Darurat pada Kasus Trauma,Buku,Salemba,2017,"buku ini membahas; patofisiologi dan epidemiologi trauma, penilaian pasien trauma, trauma kepala, dll"
1351.0,"Introduction to Statistical Methods, Design of Experiments and Statistical Quality Control",eBook Kesehatan Masyarakat,Spinger,2018,"by Dharmaraja Selvamuthu, Dipayan Das."
1376.0,dictionary of epidemiology,print,Unknown,2014,Includes bibliographical references.
1378.0,Physical properties of foods and food processing systems,eBook Kesehatan Masyarakat,WOODHEAD PUBLISHING LIMITED,1996,edited by M.J. Lewis.
1383.0,Practical clinical microbiology and infectious diseases: a hands-on guide,eBook Kesehatan Masyarakat,Unknown,2020,"This book offers practical tips and essential guidance for trainees and specialists in clinical microbiology and infectious diseases and healthcare professionals interested in infection management to put theoretical knowledge into daily practice. Using common clinical situations and problems as a guide, the handbook is intended to support the healthcare professional from interpretation of laboratory results to consultation and infection control.rnrnKey FeaturesrnrnConcisely covers the critical clinical microbiology and infectious disease topics, with an emphasis on translating theoretical knowledge into clinical practicernProvides practical guidance and solutions to commonly encountered issues and scenariosrnPresented in an accessible format to rapidly aid the clinician in day-to-day practice"
1384.0,"Integrated Risk of Pandemic:Covid-19 Impacts, Resilience and Recommendations",eBook Kesehatan Masyarakat,Spinger,2020,"In light of the novel corona virus outbreak in December 2019 and its subsequent impact on entire world as a global pandemic, the book attempts to provide integrated risk assessment on Covid -19 like pandemics, as well as to understand the societal, environment and economic impact of the outbreak in various sectors of development.rnIt covers fundamental factors of global disease outbreaks and its coverage as major disaster through the complexity and severity of consequences, illustrating the dimensions of low frequency high intensity disasters. It brings together broad range of topics including basic concepts, isolation measure, role of governance and key technical advancements for containing the diseases. In addition, it also covers resilience analysis towards the impacts such outbreaks have on bio-diversity, ecosystem services and agricultural food production. It defines key exit strategies from the lessons learned and success stories of historical disease outbreaks. The book is presented in four parts, where part 1 familiarizes with fundamentals; part 2 focuses on integrated risk assessments; part 3 focuses on various measures and strategies of resilience; and part 4 suggests key lessons and recommendations. The book is a useful reading reference for scientific community, policy makers and professionals across the domains of health, environment, disasters and sustainable development. Book is specifically beneficial for postgraduate students, researchers, planners and field professionals."
1385.0,Clinical Biochemistry: An Illustrated Colour Text,eBook Kesehatan Masyarakat,elsevier,2013,"This fully revised edition of Clinical Biochemistry offers essential reading for today’s medical student and all those who require a concise, practical introduction to this subject. Topics are clearly presented in a series of double-page ‘learning units’, each covering a particular aspect of clinical biochemistry. Four sections provide a core grounding in the subject:rnrn• Introducing clinical biochemistry gives a basic insight in to the workings of a modern hospital laboratory and the interpretation of test results;rn• Core biochemistry covers the bulk of routine analyses undertaken and their relevance in a clinical setting;rn• Endocrinology covers the thyroid, adrenal, pituitary and gonadal function testing;rn• Specialised investigation provides an overview of less requested yet important analyses.rnrnEvery ‘learning unit’ has been thoroughly checked and updated to reflect the latest field developments and clinical best practice and all new material is included on:rnrn• Myocardial infarctionrn• Gastrointestinal disordersrn• Osteoporosisrn• Proteinuriarn• The diagnosis of diabetesrn• Trace metalsrn• Screening testsrn• Paediatricsrn• Covers clinical biochemistry from the point of view of the clinician using the diagnostic servicern• Presents topics in easily accessible two-page spreadsrn• Includes mini case histories, key point boxes, flowcharts, and summary pointsrn• Well illustrated with four-color drawings and clinical photographsrn• New appendix added of annotated web resources for students to take further many of the topics covered in the book.rn• To reflect the difficulties people have sometimes in analyzing hyper- and hypo-kalaemia, the existing spread is split into two – one spread on hyperkalaemia and another on hypokalaemia.rn• The spread on hypertension will be revised and updated to reflect the fact that biochemistry is used as much or more in guiding treatment as it is in screening for secondary hypertension.rn• Spreads on Myocardial Infarction, Cancer and Tumour Markers will all substantially revised and updated"
1386.0,Routledge handbook of complementary and alternative medicine: perspectives from social science and law,eBook Keperawatan,Routledge,2015,"Penyediaan dan penggunaan pengobatan tradisional, komplementer dan alternatif (CAM) telah berkembang secara global selama 40 tahun terakhir. Seiring berkembangnya CAM bersama – dan terkadang terintegrasi dengan – pengobatan konvensional, buku pegangan ini memberikan gambaran besar pertama tentang regulasi dan profesionalisasinya dari perspektif ilmu sosial dan hukum.rnrnThe Routledge Handbook of Complementary and Alternative Medicine mengacu pada penelitian komparatif historis dan internasional untuk memberikan pemeriksaan lapangan yang ketat dan tematik. Ia berpendapat bahwa banyak debat populer dan kebijakan terjebak dalam wacana terpolarisasi dan sebagian besar asosial, dan bahwa perspektif ilmu sosial interdisipliner, yang berteori keragaman di lapangan, memberikan basis bukti yang jauh lebih kuat untuk kebijakan dan praktik di lapangan. Dibagi menjadi empat bagian, buku pegangan ini mencakup:rnrnkerangka kerja analitisrnrnkekuasaan, profesi dan ruang kesehatan healthrnrnrisiko dan regulasirnrnperspektif untuk masa depan.rnrnVolume penting ini akan menarik minat sarjana ilmu sosial dan hukum yang meneliti pengobatan komplementer dan alternatif, identifikasi profesional dan regulasi perawatan kesehatan, serta sejarawan dan pembuat kebijakan dan regulator kesehatan."
1387.0,Food and western disease: health and nutrition from an evolutionary perspective,eBook Kesehatan Masyarakat,Wiley-Blackwell,2010,"Nutrition science is a highly fractionated, contentious field with rapidly changing viewpoints on both minor and major issues impacting on public health. With an evolutionary perspective as its basis, this exciting book provides a framework by which the discipline can finally be coherently explored.rnBy looking at what we know of human evolution and disease in relation to the diets that humans enjoy now and prehistorically, the book allows the reader to begin to truly understand the link between diet and disease in the Western world and move towards a greater knowledge of what can be defined as the optimal human diet.rnWritten by a leading expertrnCovers all major diseases, including cancer, heart disease, obesity, stroke and dementiarnDetails the benefits and risks associated with the Palaeolithic dietrnDraws conclusions on key topics including sustainable nutrition and the question of healthy eatingrnThis important book provides an exciting and useful insight into this fascinating subject area and will be of great interest to nutritionists, dietitians and other members of the health professions. Evolutionary biologists and anthropologists will also find much of interest within the book. All university and research establishments where nutritional sciences, medicine, food science and biological sciences are studied and taught should have copies of this title"
1388.0,SARS: a case study in emerging infections,eBook Kesehatan Masyarakat,Oxford University Press,2005,"The sudden appearance and rapid spread of Severe Acute Respiratory Syndrome (SARS) in 2002 served to alert the world to the fact that emerging infections are a global problem. Living in affluent societies with well developed health care systems does not necessarily protect people from the dangers posed by life-threatening infections. The SARS epidemic tested global preparedness for dealing with a new infectious agent and raised important questions: how did we do, and what did we learn?This book uses the SARS outbreak as a case study to enumerate the generic issues that must be considered when planning the control of emerging infections. Emerging infections are more than just a current biological fashion: the bitter ongoing experience of AIDS and the looming threat of pandemic influenza teach us that the control of infectious disease is a problem we have not yet solved. Scientists from a broad range of disciplines – biologists, physicians, and policy-makers – all need to prepare. But prepare for what?SARS: A Case Study in Emerging Infections provides an up-to-date and accessible overview of the tasks that must be addressed by a community that wishes to confront emerging infections. Each chapter is written by a world expert and offers an authoritative and timely overview of its subject. While focusing on SARS, the book addresses a whole range of pertinent considerations and issues, from the use of new mathematical models to account for the spread of infection across global airline networks, to a discussion of the ethics of quarantining individuals in order to protect communities. The book will be of interest to students, academics, and policy makers working in the fields of disease ecology, medicine, and public health."
1390.0,Rapid antibody based technologies in food analysis,eBook Kesehatan Masyarakat,The Royal Society of Chemistry,2019,"There is a worldwide problem with food contamination, with an increasing number of outbreaks, and food safety. Consequently, there is a need for rapid tracing of foods as well as requirements for food authentication. This book provides a description of antibody-based technologies used in food analysis. It focuses on key applications outlining the approaches used, their advantages and limitations, and future areas for development. An expert in the field has written each chapter and a number of case studies demonstrating the utility of each of the methods described is included. It is for researchers and scientists in the field who have to acquire, verify and use technologies for food analysis, food producers and processors, food safety and testing laboratories, and government agencies."
1391.0,handbook of environmental toxicology: human disorders and ecotoxicology,eBook Kesehatan Masyarakat,CABI,2020,edited by J.P.F. D'Mello.
1395.0,1910 OSHA guide: workplace safety regulations & index,eBook Kesehatan Masyarakat,J.J. Keller,2014,"Subtitle: Plant safety, regulations & index (1989-   )."
1399.0,Handbook of health economics,eBook Kesehatan Masyarakat,elsevier,2000,edited by Anthony J. Culyer and Joseph P. Newhouse.
1400.0,Norton anthology of American literature,Text Book,W.W. Norton & Co.,2013,"Nina Baym, general editor ;  Robert S. Levine, associate general editor."
1417.0,HBR guide to managing stress at work,Buku,Harvard Business Review Press,2014,job stress
1425.0,Introduction to sociology,textbook,W. W. Norton & Company,2016,"Anthony Giddens, Mitchell Duneier, Richard P. Appelbaum, Deborah Carr."
1426.0,Chromatin signaling and diseases,textbook,Elsevier/Academic Press,2016,"Section I: Histone Mark Writersrn1. Histone acetyltransferases, key writers of the epigenetic languagernXiang-Jiao Yangrnrn2. Impacts of histone lysine methylation on chromatinrnSylvain Lanouette, John Haddad, Pamela Zhang and Jean-François Couturernrn3. The Role of Histone Mark Writers in Chromatin Signaling: Protein Arginine MethyltransferasesrnNasim Haghandish and Jocelyn Côtérnrn4. Histone Kinases and PhosphatasesrnNikolaus A. Watson, Jonathan M.G. HigginsrnrnSection II: Histone Mark Readersrn5. The Bromodomain as Acetyl-Lysine ReadersrnSteven G. Smith, and Ming-Ming Zhournrn6. Chromo domain proteinsrnJoel C. Eissenbergrnrn7. The role of PHD fingers in chromatin signaling: mechanisms and functional consequences of the recognition of histone and non-histone targetsrnEmma A. Morrison and Catherine A. Musselmanrnrn8. Tudor domains as methyl-lysine and methyl-arginine readersrnMaria Victoria Botuyan and Georges MerrnrnSection III: Histone Mark Erasersrn9. Histone deacetylase, the erasers of the codernMaría Julia Lamberti, Emanuel Renzo Vera, Natalia Rumie Vittar Belén, Güenter Schneiderrnrn10. Lysine Demethylases: Structure, Function and DisfunctionrnMaría Alejandra García, Raquel Fueyo, and Marian A. Martínez-BalbásrnrnSection IV: Chromatin Signalingrn11. Variation, modification and reorganization of broken chromatinrnTimothy C. Humphrey, Jessica A. Downs, and Anna L. Chambersrnrn12. Cross-talk between histone modifications integrates various signaling inputs to fine tune transcriptional outputrnSankari Nagarajan and Steven A. Johnsenrnrn13. Signaling and Chromatin Networks in Cancer BiologyrnElisabeth Hessmann, Raul Urrutia, and Alexander KoenigrnrnSection V: Chromatin Dynamics in Normal and Disease Conditionsrn14. Crosstalk between DNA methylation and Chromatin StructurernMaría Roqué and Laura Vargas-Roigrnrn15. Epigenetic regulation of endoplasmic reticulum stressrnKim Barroso and Eric Chevetrnrn16. Chromatin Signaling in Aging and Cellular SenescensernFlorence Couteau and Frédérick A. Malletternrn17.Chromatin Dynamics and Epigenetics of Stem Cells and Stem-Like Cancer CellsrnAlexandre Gaspar-Maia and Ana Sevillarnrn18. Altered Chromatin Signaling in CancerrnAndrew Lissrnrn19. Impact of Chromatin Changes in Pathogenesis of Infectious Disease: A Pathogen ViewrnAndrea Ropolo and Maria Carolina Touzrnrn20. Chromatin Remodeling and Epigenetic Reprogramming In Chronic Disease and Cancer in the Liver and PancreasrnMaite G. Fernandez - Barrena and Christopher L. Pinrnrn21. Pharmacological and Therapeutic Targeting of Epigenetic RegulatorsrnRaul Urrutia and Gwen A. Lomberkrnrn22. Use of Chromatin Changes as BiomarkersrnRyan A. Hlady and Keith D. Robertsonrnrn23. Regulation of Host Chromatin by Bacterial MetabolitesrnSridhar Mani"
1439.0,Microbiology: The Human Experience Preliminary,textbook,W.W. Norton & Co.,2016,"At the core of Microbiology: The Human Experience are case histories that put foundational concepts in a real-world context.rnrnThe bones are the consistent structure of learning objectives, summaries, and questions that support the clear, accurate, and organized presentation of the content.rnrnThe connective tissue is the art and highly readable text, by two masterful teachers and an experienced physician assistant, which puts infectious disease front and center and highlights contemporary topics such as the human microbiome."
